date,key_change,taux,x_vers_euro
2023-05-23,USD,1.0779,0.9277298450691158
2023-05-23,JPY,149.2,0.006702412868632708
2023-05-22,USD,1.0822,0.9240436148586213
2023-05-22,JPY,149.64,0.0066827051590483836
2023-05-19,USD,1.0808,0.9252405625462621
2023-05-19,JPY,149.55,0.006686726847208291
2023-05-18,USD,1.0813,0.9248127254231019
2023-05-18,JPY,149.08,0.006707807888382076
2023-05-17,USD,1.0829,0.9234463015975621
2023-05-17,JPY,148.31,0.0067426336727125615
2023-05-16,USD,1.0881,0.9190331770976932
2023-05-16,JPY,147.89,0.00676178240584218
2023-05-15,USD,1.0876,0.9194556822361163
2023-05-15,JPY,148.15,0.006749915626054674
2023-05-12,USD,1.0892,0.9181050312155711
2023-05-12,JPY,147.02,0.006801795674057951
2023-05-11,USD,1.093,0.9149130832570906
2023-05-11,JPY,146.54,0.006824075337791729
2023-05-10,USD,1.095,0.9132420091324202
2023-05-10,JPY,148.18,0.00674854906195168
2023-05-09,USD,1.0959,0.9124920156948626
2023-05-09,JPY,147.97,0.0067581266472933705
2023-05-08,USD,1.1037,0.906043308870164
2023-05-08,JPY,149.15,0.00670465973851827
2023-05-05,USD,1.1014,0.9079353550027238
2023-05-05,JPY,147.8,0.006765899864682002
2023-05-04,USD,1.1074,0.9030160736861117
2023-05-04,JPY,148.92,0.006715014773032501
2023-05-03,USD,1.1043,0.9055510278004165
2023-05-03,JPY,149.66,0.006681812107443539
2023-05-02,USD,1.0965,0.9119927040583675
2023-05-02,JPY,150.7,0.006635700066357001
2023-04-28,USD,1.0981,0.9106638739641197
2023-04-28,JPY,149.35,0.006695681285570807
2023-04-27,USD,1.1042,0.9056330374932077
2023-04-27,JPY,147.16,0.0067953248165262305
2023-04-26,USD,1.1039,0.9058791557206268
2023-04-26,JPY,147.67,0.006771856165775039
2023-04-25,USD,1.1022,0.9072763563781527
2023-04-25,JPY,147.91,0.006760868095463458
2023-04-24,USD,1.1002,0.9089256498818397
2023-04-24,JPY,148.17,0.00674900452183303
2023-04-21,USD,1.0978,0.9109127345600291
2023-04-21,JPY,146.92,0.006806425265450586
2023-04-20,USD,1.0944,0.9137426900584795
2023-04-20,JPY,147.46,0.006781500067815
2023-04-19,USD,1.0933,0.914662032379036
2023-04-19,JPY,147.24,0.006791632708503124
2023-04-18,USD,1.0972,0.9114108640174992
2023-04-18,JPY,146.89,0.006807815372047111
2023-04-17,USD,1.0981,0.9106638739641197
2023-04-17,JPY,146.97,0.0068041096822480775
2023-04-14,USD,1.1057,0.9044044496698924
2023-04-14,JPY,146.6,0.0068212824010914054
2023-04-13,USD,1.1015,0.9078529278256923
